KIC,Porb
11506235,20.413
11517719,2.496
11519134,58.585
11519226,22.161
11521048,25.703
11546211,2.194
11547869,10.727
11548140,2.757
11560037,1.467
11564013,1.751
11568987,15.96
11616200,1.719
11656840,7.443
11662440,13.639
11673686,4.619
11704044,13.765
11706658,1.408
11724210,5.746
11824222,15.841
11853130,76.879
11858541,5.674
11867071,3.964
11873166,1.469
11875511,67.452
11906217,37.91
11911561,8.87
11922782,3.513
11967004,1.942
11968490,1.079
11968513,1.037
11974540,24.669
11975363,3.518
12004679,5.042
12010534,2.582
12013615,8.203
12022517,3.443
12109575,0.532
12109845,0.866
12170648,0.599
12255382,0.999
12351927,10.116
12356746,1.005
12365000,1.263
12367310,8.627
12367464,1.853
12400729,0.932
12418662,2.752
12418816,1.522
12470530,8.207
12504988,5.094
12506351,2.456
12557713,7.215
12599700,1.018
12643582,88.295
12644769,41.078
